domain,application,version,users,AMU,AHYU,posts
pleroma.ahfrom.synology.me,pleroma,2.5.5,1,1,1,33
iterate.social,mastodon,4.2.1,1,2,2,3
neo.seafoam.space,akkoma,3.10.4-0-gebfb617,12,9,9,316
fedi.nano.lgbt,akkoma,3.10.4-1-gebfb617b,3,3,3,592
ak.gensokyo.shop,akkoma,3.10.4-1-gebfb617b,2,3,3,166
ghostbloods.org,misskey,2023.10.1,5,null,null,41
shahu.ski,misskey,2023.10.1,24,null,null,594
sp8key.monster,misskey,2023.10.1,14,null,null,480
mskontor.nannika.work,misskey,12.119.2-fix.5.8,5,4,4,19
sunspot.garden,mastodon,4.2.1,1,1,1,8
mastodon.nerfherders.club,mastodon,4.2.1,1,1,1,1
tooter.rfx.fi,firefish,1.0.3,3,1,1,18
staging.social.azuki.co,mastodon,4.2.0,10,11,11,11
blauerhimmel.eu,mastodon,4.2.1,4,4,4,18
pleroma.chestergould.ca,pleroma,2.5.5,2,2,2,12
social.1xx.io,mastodon,4.2.1,2,1,1,6
fedi.jameuwu.com,firefish,1.0.4-beta,3,2,2,36
social.dev-qq.de,mastodon,4.2.1,2,2,2,0
tuxfan.noho.st,pleroma,2.5.5,2,2,2,17
social.peekeend.nl,mastodon,4.2.0,2,2,2,30
koharu.app,misskey,2023.10.0,8,null,null,50
social.neegbeah.dev,mastodon,4.2.1,1,1,1,3
kemetic.space,mastodon,4.2.1,1,1,1,71
social.dcvz.io,firefish,1.0.5-dev18,2,1,1,1
koko.micenest.xyz,akkoma,3.10.4-0-gebfb617,1,1,1,62
mi.starlamp.su,misskey,2023.10.1-pie-2.3,3,null,null,191
msky.nenohi.net,misskey,2023.10.1,4,null,null,423
firefish.reins-no-misskey.com,firefish,1.0.4-beta,4,2,2,185
misskey.sappagetti.com,misskey,13.13.2,3,null,null,4
yojohan.cc,misskey,2023.10.1-kakurega.1.22.0,32,null,null,2655
social.shaypunter.co.uk,mastodon,4.2.1,1,1,1,10
sola.social,mastodon,4.2.1,2,2,2,1
ocooo.ooo,firefish,1.0.4-beta31,3,2,2,2
soc.rnrd.eu,akkoma,3.8.0,1,1,1,16
toolsforthought.social,mastodon,4.2.1,4,4,4,123
fedi.catboy.agency,sharkey,2023.10.2,4,null,null,52
norse.social,mastodon,4.2.1,1,1,1,46
fedi.joeydrew.studio,akkoma,3.10.4-0-gebfb617,5,4,4,34
social.polysecure.ca,mastodon,4.2.1,1,1,1,6
sha.bal.ovh,sharkey,2023.10.2,12,null,null,139
winnick.is,mastodon,4.0.2,2,2,2,2
mastodon.toaruden.net,mastodon,4.2.1,1,1,1,13
renedon.red,renedon,1.0.0-RC-1+kmyblue.7.1,6,7,7,208
ic.bal.ovh,iceshrimp,2023.10.04,7,6,6,58
social.funkwhale.audio,mastodon,4.2.0,2,2,2,2
haaien.xyz,sharkey,2023.10.3.beta1,3,null,null,12
akko.girlcock.ceo,akkoma,3.10.3-203-gd1af78ab-develop,1,1,1,50
social.catnip.ee,firefish,1.0.4-beta,3,1,1,9
garuru.f5.si,misskey,2023.10.1,8,null,null,136
raccoon.zone,mastodon,4.2.1,1,1,1,60
superfun.club,mastodon,4.2.1,2,2,2,16
expatasia.social,mastodon,4.1.4,19,2,12,976
space.neo7.kim,mastodon,4.2.1,2,1,1,44
social.shiggy.fun,firefish,1.0.3,32,31,31,154
fedi.enby-box.de,mastodon,4.2.1,0,2,2,0
toastedlord.sytes.net,akkoma,3.10.4-1-gebfb617b,1,1,1,91
gremlin.party,firefish,1.0.3,3,1,1,15
toot.kakurady.ca,mastodon,4.2.1,1,1,1,0
14141004.xyz,misskey,2023.10.1,6,null,null,17
toots.codeenigma.com,mastodon,4.2.1,4,5,5,14
mastodon.zweifel.cloud,mastodon,4.2.1,1,1,1,8
mastodon.vhack.eu,mastodon,4.1.9,1,1,1,42
soc.c11um.de,mastodon,4.2.1,1,1,1,22
social.misk.cf,mastodon,4.2.0,2,2,2,5
masto.hivane.net,mastodon,4.2.1,4,4,4,19
social.amairo.space,firefish,1.0.5-dev19+neko:be83fa2,4,2,2,35
dsc.re,pleroma,2.5.5,1,1,1,14
